"date","close","volume","open","high","low"
"2019/03/29","1780.7500","3316831.0000","1786.5800","1792.8600","1776.6300"
"2019/03/28","1773.4200","3030860.0000","1770.0000","1777.9300","1753.4700"
"2019/03/27","1765.7000","4316646.0000","1784.1300","1787.5000","1745.6800"
"2019/03/26","1783.7600","4848654.0000","1793.0000","1805.7700","1773.3598"
"2019/03/25","1774.2600","5098182.0000","1757.7900","1782.6751","1747.5000"
"2019/03/22","1764.7700","6347858.0000","1810.1700","1818.9800","1763.1100"
"2019/03/21","1819.2600","5740075.0000","1796.2600","1823.7500","1787.2810"
"2019/03/20","1797.2700","6153806.0000","1769.9400","1799.5000","1767.0338"
"2019/03/19","1761.8500","6339232.0000","1753.5100","1784.1600","1753.5100"
"2019/03/18","1742.1500","5403392.0000","1712.7000","1750.0000","1712.6300"
"2019/03/15","1712.3600","7538300.0000","1703.0000","1718.8000","1693.1300"
"2019/03/14","1686.2200","2937759.0000","1691.2000","1702.0000","1684.3400"
"2019/03/13","1690.8100","3540837.0000","1683.0000","1700.0000","1679.3500"
"2019/03/12","1673.1000","3562993.0000","1669.0000","1684.2650","1660.9800"
"2019/03/11","1670.6200","3797298.0000","1626.1200","1672.2850","1626.0100"
"2019/03/08","1620.8000","4659945.0000","1604.0100","1622.7200","1586.5700"
"2019/03/07","1625.9500","4945564.0000","1667.3700","1669.7534","1620.5100"
"2019/03/06","1668.9500","3984996.0000","1695.9700","1697.7500","1668.2800"
"2019/03/05","1692.4300","3667977.0000","1702.9500","1707.8000","1689.0100"
"2019/03/04","1696.1700","6154237.0000","1685.0000","1709.4300","1674.3600"
"2019/03/01","1671.7300","4661618.0000","1655.1300","1674.2600","1651.0000"
